fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
cv_inv3_21,6,reached_max_iter,0,0,FALSE,2,6964,0.0086,0,0,21.04,
cv_inv3_35,4,YES,0,0,FALSE,1,4796,0.0061,0,0,13.67,
cv_inv2_7,2,YES,0,0,FALSE,0,2620,0.0034,0,0,8.9,
cv_inv2_49,6,reached_max_iter,0,0,FALSE,0,7857,0.0103,0,0,29.03,
cv_inv1_18,6,reached_max_iter,0,0,FALSE,1,7346,0.0103,0,0,631.6,
cv_inv1_18.als,6,Error_finally_section,0,0,FALSE,1,7346,0.0103,0,0,NA,
cv_inv1_24,6,reached_max_iter,0,0,FALSE,0,7567,0.0099,0,0,28.87,
cv_inv1_25,6,reached_max_iter,0,0,FALSE,6,14331,0.0167,0,0,26.79,
cv_inv1_19,6,reached_max_iter,0,0,FALSE,6,14436,0.0169,0,0,27.8,
cv_inv2_48,6,reached_max_iter,0,0,FALSE,0,7963,0.0105,0,0,29.93,
cv_inv2_60,3,YES,0,0,FALSE,2,5289,0.0065,0,0,13.58,
cv_inv2_6,6,reached_max_iter,0,0,FALSE,1,7437,0.0095,0,0,24.93,
cv_inv3_34,6,reached_max_iter,0,0,FALSE,5,8118,0.0097,0,0,20.03,
cv_inv3_20,6,reached_max_iter,0,0,FALSE,1,7315,0.0093,0,0,25.16,
cv_inv3_36,6,reached_max_iter,0,0,FALSE,1,7342,0.0093,0,0,24.87,
cv_inv3_22,6,reached_max_iter,0,0,FALSE,2,8760,0.0114,0,0,34.01,
cv_inv2_4,6,reached_max_iter,0,0,FALSE,6,12285,0.0143,0,0,23.01,
cv_inv1_27,6,reached_max_iter,0,0,FALSE,0,7730,0.0101,0,0,26.79,
cv_inv1_26,6,reached_max_iter,0,0,FALSE,0,7555,0.0099,0,0,26.89,
cv_inv2_5,6,reached_max_iter,0,0,FALSE,1,7626,0.0098,0,0,24.74,
cv_inv3_23,6,reached_max_iter,0,0,FALSE,2,8417,0.0108,0,0,28.81,
cv_inv3_37,6,reached_max_iter,0,0,FALSE,0,7433,0.0097,0,0,28.82,
cv_inv3_33,6,reached_max_iter,0,0,FALSE,1,7236,0.0092,0,0,23.74,
cv_inv3_27,6,reached_max_iter,0,0,FALSE,0,7567,0.0099,0,0,27.97,
cv_inv2_1,6,reached_max_iter,0,0,FALSE,0,7842,0.0103,0,0,28.22,
cv_inv1_22,6,reached_max_iter,0,0,FALSE,0,7270,0.0093,0,0,24.32,
cv_inv1_23,6,reached_max_iter,0,0,FALSE,0,8072,0.0108,0,0,33.37,
cv_inv3_26,2,YES,0,0,FALSE,1,2182,0.0026,0,0,4.88,
cv_inv3_32,6,reached_max_iter,0,0,FALSE,2,6622,0.0081,0,0,16.98,
cv_inv3_24,3,YES,0,0,FALSE,1,3433,0.0042,0,0,9.52,
cv_inv3_30,6,reached_max_iter,0,0,FALSE,1,7208,0.0092,0,0,22.54,
cv_inv3_18,6,reached_max_iter,0,0,FALSE,1,7490,0.0097,0,0,26.43,
cv_inv2_2,6,reached_max_iter,0,0,FALSE,0,7742,0.01,0,0,25.93,
cv_inv2_58,2,YES,0,0,FALSE,0,2639,0.0035,0,0,8.83,
cv_inv1_21,6,reached_max_iter,0,0,FALSE,1,7093,0.0089,0,0,23.89,
cv_inv1_20,6,reached_max_iter,0,0,FALSE,6,11643,0.0135,0,0,25.48,
cv_inv2_59,3,YES,0,0,FALSE,1,3613,0.0045,0,0,13.24,
cv_inv2_3,6,reached_max_iter,0,0,FALSE,6,14283,0.0166,0,0,29.08,
cv_inv3_19,6,reached_max_iter,0,0,FALSE,1,8175,0.0106,0,0,28.51,
cv_inv3_31,6,reached_max_iter,0,0,FALSE,1,7277,0.0092,0,0,27.48,
cv_inv3_25,2,YES,0,0,FALSE,1,2178,0.0026,0,0,5.35,
cv_inv3_42,6,reached_max_iter,0,0,FALSE,0,7913,0.0105,0,0,29.05,
cv_inv2_16,2,YES,0,0,FALSE,0,2624,0.0034,0,0,9,
cv_inv1_6,6,reached_max_iter,0,0,FALSE,0,7760,0.0102,0,0,29.57,
cv_inv3_4,2,YES,0,0,FALSE,1,2142,0.0025,0,0,5.67,
cv_inv3_5,4,YES,0,0,FALSE,1,4527,0.0056,0,0,13.03,
cv_inv1_7,6,reached_max_iter,0,0,FALSE,1,7225,0.0092,0,0,23.55,
cv_inv2_17,6,reached_max_iter,0,0,FALSE,1,8046,0.0107,0,0,30.37,
cv_inv3_43,2,YES,0,0,FALSE,1,2162,0.0026,0,0,5.74,
cv_inv3_41,6,reached_max_iter,0,0,FALSE,5,9288,0.011,0,0,20.21,
cv_inv2_15,6,YES,0,0,FALSE,1,8118,0.0105,0,0,28.82,
cv_inv2_29,6,reached_max_iter,0,0,FALSE,1,7220,0.009,0,0,22.49,
cv_inv1_5,6,reached_max_iter,0,0,FALSE,1,7231,0.0092,0,0,25.51,
cv_inv3_7,6,reached_max_iter,0,0,FALSE,2,8901,0.0115,0,0,30.13,
cv_inv3_6,6,reached_max_iter,0,0,FALSE,6,11175,0.013,0,0,20.98,
cv_inv1_4,6,reached_max_iter,0,0,FALSE,1,7376,0.0094,0,0,25.35,
cv_inv2_28,3,YES,0,0,FALSE,1,3312,0.0039,0,0,7.09,
cv_inv2_14,6,reached_max_iter,0,0,FALSE,6,12258,0.0143,0,0,25.39,
cv_inv3_40,6,reached_max_iter,0,0,FALSE,3,7574,0.0096,0,0,25.31,
cv_inv3_50,6,reached_max_iter,0,0,FALSE,1,7317,0.0093,0,0,25.31,
cv_inv3_44,6,reached_max_iter,0,0,FALSE,3,7612,0.0095,0,0,22.86,
cv_inv2_38,6,reached_max_iter,0,0,FALSE,1,8175,0.0104,0,0,25.65,
cv_inv2_10,6,reached_max_iter,0,0,FALSE,0,8324,0.0112,0,0,33.4,
cv_inv3_2,6,reached_max_iter,0,0,FALSE,1,7142,0.0091,0,0,25.03,
cv_inv3_3,6,reached_max_iter,0,0,FALSE,1,7507,0.0098,0,0,26.12,
cv_inv1_1,6,reached_max_iter,0,0,FALSE,0,8057,0.0108,0,0,30.31,
cv_inv2_11,6,reached_max_iter,0,0,FALSE,0,7752,0.0101,0,0,25.9,
cv_inv2_39,6,reached_max_iter,0,0,FALSE,6,11898,0.0138,0,0,22.26,
cv_inv3_45,6,reached_max_iter,0,0,FALSE,2,6570,0.008,0,0,19.71,
cv_inv3_51,6,reached_max_iter,0,0,FALSE,2,10384,0.0139,0,0,40.77,
cv_inv3_47,6,reached_max_iter,0,0,FALSE,3,7247,0.0093,0,0,25.02,
cv_inv2_13,3,YES,0,0,FALSE,0,3899,0.0051,0,0,15.04,
cv_inv1_3,6,reached_max_iter,0,0,FALSE,0,8118,0.0109,0,0,34.55,
cv_inv3_1,4,YES,0,0,FALSE,1,4434,0.0054,0,0,12.75,
cv_inv1_2,6,reached_max_iter,0,0,FALSE,0,7725,0.0101,0,0,27.41,
cv_inv2_12,6,reached_max_iter,0,0,FALSE,0,7949,0.0105,0,0,30.69,
cv_inv3_46,4,YES,0,0,FALSE,1,4740,0.0059,0,0,15.4,
cv_inv2_37,2,YES,0,0,FALSE,1,2268,0.0027,0,0,5.04,
cv_inv2_23,6,reached_max_iter,0,0,FALSE,6,14493,0.0169,0,0,25.97,
cv_inv2_22,6,reached_max_iter,0,0,FALSE,2,8030,0.0101,0,0,26.17,
cv_inv2_36,3,YES,0,0,FALSE,0,4184,0.0057,0,0,17.24,
cv_inv3_48,6,reached_max_iter,0,0,FALSE,1,7315,0.0093,0,0,24.14,
cv_inv2_20,2,YES,0,0,FALSE,1,2290,0.0027,0,0,5.46,
cv_inv2_34,2,YES,0,0,FALSE,0,2550,0.0033,0,0,9.34,
cv_inv2_35,6,reached_max_iter,0,0,FALSE,0,7645,0.0099,0,0,26.56,
cv_inv2_21,6,reached_max_iter,0,0,FALSE,0,7957,0.0105,0,0,31.53,
cv_inv3_49,6,reached_max_iter,0,0,FALSE,2,8672,0.011,0,0,29.12,
cv_inv2_19,3,YES,0,0,FALSE,0,3661,0.0046,0,0,12.66,
