fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
classroom_inv14_146,6,reached_max_iter,0,0,FALSE,5,24796,0.03,0,0,78.99,
classroom_inv14_152,6,reached_max_iter,0,0,FALSE,2,16232,0.0213,0,0,74.95,
classroom_inv14_60,6,reached_max_iter,0,0,FALSE,4,21825,0.0272,0,0,68.06,
classroom_inv14_74,6,reached_max_iter,0,0,FALSE,6,29541,0.035,0,0,70.83,
classroom_inv14_48,6,reached_max_iter,0,0,FALSE,6,35913,0.0432,0,0,103.16,
classroom_inv14_49,6,reached_max_iter,0,1,FALSE,2,16661,0.0226,0,0,94.45,
classroom_inv14_75,6,reached_max_iter,0,0,FALSE,5,24487,0.0293,0,0,81.74,
classroom_inv14_61,6,reached_max_iter,0,0,FALSE,6,23558,0.0273,0,0,55.79,
classroom_inv14_153,6,reached_max_iter,0,0,FALSE,6,18336,0.0206,0,0,30.46,
classroom_inv14_147,6,reached_max_iter,0,1,FALSE,1,18435,0.024,0,0,85.66,
classroom_inv14_151,6,reached_max_iter,0,0,FALSE,6,18345,0.0206,0,0,32.43,
classroom_inv14_145,6,reached_max_iter,0,0,FALSE,5,25038,0.0301,0,0,77.35,
classroom_inv14_88,6,reached_max_iter,0,0,FALSE,3,15289,0.0197,0,0,55.91,
classroom_inv14_77,6,reached_max_iter,0,0,FALSE,6,29166,0.0345,0,0,64.54,
classroom_inv14_63,6,reached_max_iter,0,0,FALSE,6,28760,0.0339,0,0,76.52,
classroom_inv14_62,6,reached_max_iter,0,0,FALSE,6,30129,0.0358,0,0,71.04,
classroom_inv14_76,6,reached_max_iter,0,0,FALSE,6,25203,0.0292,0,0,64.31,
classroom_inv14_89,6,reached_max_iter,0,0,FALSE,6,17760,0.0199,0,0,34.26,
classroom_inv14_144,6,reached_max_iter,0,0,FALSE,2,15860,0.0197,0,0,60.12,
classroom_inv14_150,6,reached_max_iter,0,0,FALSE,6,30210,0.0359,0,0,83.24,
classroom_inv14_168,6,reached_max_iter,0,1,FALSE,2,17950,0.0232,0,0,77.7,
classroom_inv14_154,6,reached_max_iter,0,0,FALSE,6,29870,0.0354,0,0,90.7,
classroom_inv14_140,6,reached_max_iter,0,1,FALSE,0,17376,0.0226,0,0,75.82,
classroom_inv14_99,6,reached_max_iter,0,1,FALSE,1,16094,0.0204,0,0,72.77,
