FileName,LoC
bempl1.als,39
balancedBST3_1.als,80
student17_1.als,61
dll3_1.als,59
dll1_1.als,64
student16.als,56
balancedBST2_1.als,70
student12_1.als,62
ctree1.als,34
student15.als,61
fsm1_1.als,53
balancedBST1.als,79
student9.als,73
student10.als,64
student11.als,63
student14_1.als,60
student8.als,64
arr2.als,52
student13.als,68
dll2_1.als,64
arr1.als,40
cd2.als,40
student6_1.als,62
student18_1.als,60
student5.als,62
student4.als,61
dll4.als,60
student1.als,62
student2_1.als,60
grade1.als,27
fsm2.als,45
cd1_1.als,40
student19_1.als,62
addr1.als,37
farmer1.als,97
student7_1.als,62
other1.als,35
student3_1.als,65
