Defective_Model,iteration_1_status,iteration_2_status,iteration_3_status,iteration_4_status,iteration_5_status,iteration_6_status
bempl1,Fixed,,,,,
balancedBST3_1,counterexample,counterexample,Repitation,Repitation,SyntaxError,Repitation
student17_1,counterexample,SyntaxError,counterexample,Repitation,SyntaxError,SyntaxError
dll3_1,Fixed,,,,,
dll1_1,counterexample,Fixed,,,,
student16,SyntaxError,SyntaxError,counterexample,SyntaxError,Repitation,Repitation
balancedBST2_1,SyntaxError,SyntaxError,Fixed,,,
student12_1,SyntaxError,SyntaxError,counterexample,Fixed,,
ctree1,Fixed,,,,,
student15,counterexample,Fixed,,,,
fsm1_1,counterexample,counterexample,Repitation,Repitation,Repitation,Repitation
balancedBST1,SyntaxError,counterexample,Repitation,Repitation,Repitation,Repitation
student9,Fixed,,,,,
student10,Fixed,,,,,
student11,counterexample,Fixed,,,,
student14_1,counterexample,counterexample,Repitation,Repitation,Repitation,Repitation
student8,Fixed,,,,,
arr2,SyntaxError,SyntaxError,counterexample,Repitation,Fixed,
student13,counterexample,counterexample,Fixed,,,
dll2_1,counterexample,SyntaxError,Fixed,,,
arr1,NoInstance,NoInstance,Repitation,Repitation,Repitation,Repitation
cd2,Fixed,,,,,
student6_1,Fixed,,,,,
student18_1,counterexample,counterexample,Repitation,Fixed,,
student5,counterexample,Fixed,,,,
student4,counterexample,counterexample,NoInstance,SyntaxError,Repitation,Repitation
dll4,counterexample,Fixed,,,,
student1,Fixed,,,,,
student2_1,Fixed,,,,,
grade1,counterexample,SyntaxError,Fixed,,,
fsm2,counterexample,counterexample,Fixed,,,
cd1_1,Fixed,,,,,
student19_1,counterexample,counterexample,Repitation,Fixed,,
addr1,counterexample,counterexample,Repitation,Repitation,Repitation,Fixed
farmer1,Fixed,,,,,
student7_1,SyntaxError,SyntaxError,counterexample,SyntaxError,counterexample,counterexample
other1,counterexample,Fixed,,,,
student3_1,counterexample,counterexample,Repitation,NoInstance,counterexample,counterexample
