fileName,iterations,status
addr1,5,NOT_FIXED
arr1,5,NOT_FIXED
arr2,5,NOT_FIXED
balancedBST1,5,SYNTAX_ERROR
balancedBST2_1,5,FIXED
balancedBST3_1,5,SYNTAX_ERROR
bempl1,5,NOT_FIXED
cd1_1,1,FIXED
cd2,1,FIXED
ctree1,1,FIXED
dll1_1,1,FIXED
dll2_1,1,FIXED
dll3_1,1,FIXED
dll4,1,FIXED
farmer1,5,NOT_FIXED
fsm1_1,5,NOT_FIXED
fsm2,1,FIXED
grade1,5,SYNTAX_ERROR
other1,1,FIXED
student1,2,FIXED
student2_1,5,SYNTAX_ERROR
student3_1,3,FIXED
student4,5,NOT_FIXED
student5,2,FIXED
student6_1,1,FIXED
student7_1,1,FIXED
student8,1,FIXED
student9,1,FIXED
student10,2,FIXED
student11,2,FIXED
student12_1,5,SYNTAX_ERROR
student13,2,FIXED
student14_1,3,FIXED
student15,4,FIXED
student16,5,SYNTAX_ERROR
student17_1,3,FIXED
student18_1,4,FIXED
student19_1,5,SYNTAX_ERROR
